epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05183,1.09778,5.07194,1.28097,0.45128,0.48522,0.50548,0.41396,0.64323,7.10841,0.95952,9.163e-05,9.163e-05,9.163e-05
2,13.7412,0.67288,1.48515,0.98244,0.68364,0.84913,0.80719,0.64251,0.57646,2.04148,0.92457,0.000189693,0.000189693,0.000189693
3,19.4671,0.60612,0.94526,0.93797,0.8464,0.86071,0.88991,0.73284,0.58943,1.30579,0.92968,0.000285777,0.000285777,0.000285777
4,24.6542,0.59576,0.7842,0.92445,0.78728,0.9145,0.91849,0.75244,0.60961,1.09811,0.90819,0.000379882,0.000379882,0.000379882
5,30.4935,0.60864,0.72391,0.92829,0.83779,0.94128,0.92853,0.76309,0.54955,0.77141,0.92254,0.000472008,0.000472008,0.000472008
6,36.5807,0.59389,0.67407,0.9259,0.91481,0.94768,0.96263,0.78698,0.6124,0.70112,0.94958,0.000562154,0.000562154,0.000562154
7,41.5342,0.58662,0.64759,0.91914,0.85378,0.93234,0.92952,0.75816,0.59496,0.6213,0.95399,0.000650321,0.000650321,0.000650321
8,48.0035,0.57919,0.60122,0.91123,0.84877,0.89722,0.92259,0.75174,0.62471,0.64258,0.94395,0.000736509,0.000736509,0.000736509
9,53.2858,0.59918,0.60151,0.91551,0.81401,0.95157,0.90942,0.75177,0.61108,0.6103,0.9508,0.000767026,0.000767026,0.000767026
10,59.9459,0.57861,0.55908,0.919,0.86311,0.96681,0.95303,0.76273,0.57981,0.61988,0.93489,0.00075878,0.00075878,0.00075878
11,64.951,0.57641,0.60341,0.91983,0.85107,0.93435,0.9234,0.77475,0.59197,0.60391,0.94146,0.000750533,0.000750533,0.000750533
12,69.6311,0.55271,0.54355,0.90563,0.85264,0.89131,0.91502,0.76474,0.58834,0.60013,0.93767,0.000742286,0.000742286,0.000742286
13,76.0109,0.52618,0.52886,0.9089,0.85195,0.9493,0.92184,0.77639,0.58645,0.55778,0.95436,0.00073404,0.00073404,0.00073404
14,81.0448,0.553,0.51157,0.9151,0.88975,0.89548,0.93513,0.78685,0.55738,0.54503,0.93669,0.000725793,0.000725793,0.000725793
15,86.2638,0.56742,0.51637,0.91908,0.8563,0.93615,0.93597,0.79054,0.57825,0.56075,0.95224,0.000717546,0.000717546,0.000717546
16,92.3001,0.53407,0.49793,0.90408,0.88103,0.93424,0.9382,0.79148,0.57029,0.49733,0.96309,0.000709299,0.000709299,0.000709299
17,97.2532,0.53777,0.50047,0.91697,0.91268,0.89122,0.92774,0.77679,0.55834,0.59858,0.94909,0.000701053,0.000701053,0.000701053
